,date,age,signs_of_mental_illness,body_camera,killed_unarmed,manner_of_death_shot,manner_of_death_shot and Tasered,gender_F,gender_M,race_Asian,race_Black,race_Hispanic,race_Native,race_Other,race_White,threat_level_attack,threat_level_other,threat_level_undetermined,flee_Car,flee_Foot,flee_Not fleeing,flee_Other
216,1426896000000000000,42.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
217,1426982400000000000,37.0,True,False,False,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
218,1426982400000000000,36.0,True,False,False,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
219,1426982400000000000,21.0,False,False,False,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
220,1427068800000000000,24.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
221,1427155200000000000,29.0,True,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
222,1427155200000000000,57.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
223,1427155200000000000,38.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
224,1427241600000000000,23.0,False,True,False,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
225,1427241600000000000,27.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
226,1427241600000000000,28.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
227,1427241600000000000,63.0,True,False,False,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
228,1427328000000000000,53.0,False,False,False,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
229,1427328000000000000,35.0,True,False,False,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
230,1427414400000000000,26.0,False,False,False,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
231,1427414400000000000,42.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
232,1427414400000000000,41.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
233,1427414400000000000,56.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
234,1427414400000000000,39.0,False,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
235,1427414400000000000,23.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
236,1427414400000000000,40.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
237,1427587200000000000,29.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
238,1427587200000000000,26.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
239,1427673600000000000,49.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
240,1427760000000000000,36.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
241,1427760000000000000,21.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
